dataMessageGUID,sensorID,messageDate,state,signalStrength,voltage,battery,rawData,displayData,plotValue,metNotificationRequirements,gatewayID,dataValue,dataType,plotValues,plotLabels,applicationID,sensorName,accountID
acb7ee7a-f253-461b-8d26-9f13ce91ac82,518781,2020-11-14 15:14:59,0,100,2.8,100,411|4,CO2 Instantaneous: 411 ppm; CO2 TWA: 410 ppm,411,False,947629,411|410,PPM|PPM,411|410,Instantaneous|TWA,106,CO2 Meter - 518781,28135
e4cb5e66-24a8-4308-b9de-ecc2a21a8c5a,518781,2020-11-14 13:14:59,0,100,2.8,100,408|4,CO2 Instantaneous: 408 ppm; CO2 TWA: 413 ppm,408,False,947629,408|413,PPM|PPM,408|413,Instantaneous|TWA,106,CO2 Meter - 518781,28135
f92fb7e0-e9f8-4aef-915d-66e1cf8c4474,518781,2020-11-14 11:15:00,0,100,2.8,100,415|4,CO2 Instantaneous: 415 ppm; CO2 TWA: 414 ppm,415,False,947629,415|414,PPM|PPM,415|414,Instantaneous|TWA,106,CO2 Meter - 518781,28135
f15a4db4-678e-48c1-b96c-e75b78779455,518781,2020-11-14 09:15:00,0,100,2.8,100,409|4,CO2 Instantaneous: 409 ppm; CO2 TWA: 416 ppm,409,False,947629,409|416,PPM|PPM,409|416,Instantaneous|TWA,106,CO2 Meter - 518781,28135
91d687f5-b3e5-48a1-bf73-416080eee5fe,518781,2020-11-14 07:14:59,0,100,2.8,100,415|4,CO2 Instantaneous: 415 ppm; CO2 TWA: 417 ppm,415,False,947629,415|417,PPM|PPM,415|417,Instantaneous|TWA,106,CO2 Meter - 518781,28135
4b751977-cd77-4e98-9be9-c193e9accfe6,518781,2020-11-14 05:14:59,0,100,2.8,100,419|4,CO2 Instantaneous: 419 ppm; CO2 TWA: 416 ppm,419,False,947629,419|416,PPM|PPM,419|416,Instantaneous|TWA,106,CO2 Meter - 518781,28135
6d008a61-78ff-428b-80a2-b5fc58f7df21,518781,2020-11-14 03:14:59,0,100,2.8,100,410|4,CO2 Instantaneous: 410 ppm; CO2 TWA: 413 ppm,410,False,947629,410|413,PPM|PPM,410|413,Instantaneous|TWA,106,CO2 Meter - 518781,28135
f0cea92f-dee5-40c3-ac52-70971ee572be,518781,2020-11-14 01:14:59,0,100,2.8,100,427|4,CO2 Instantaneous: 427 ppm; CO2 TWA: 411 ppm,427,False,947629,427|411,PPM|PPM,427|411,Instantaneous|TWA,106,CO2 Meter - 518781,28135
29086575-8b8e-451d-8162-5c1bf74ee7f4,518781,2020-11-15 23:14:58,0,100,2.8,100,425|4,CO2 Instantaneous: 425 ppm; CO2 TWA: 405 ppm,425,False,947629,425|405,PPM|PPM,425|405,Instantaneous|TWA,106,CO2 Meter - 518781,28135
8d6ae2a5-65ea-431f-acc6-8b099e974b85,518781,2020-11-15 21:14:58,0,100,2.8,100,416|4,CO2 Instantaneous: 416 ppm; CO2 TWA: 404 ppm,416,False,947629,416|404,PPM|PPM,416|404,Instantaneous|TWA,106,CO2 Meter - 518781,28135
